stationId,polluant,valeur,date,heure
80,"PM",6,"2025-02-01",13
99,"SO2",1,"2025-02-01",13
99,"O3",23,"2025-02-01",13
99,"NO2",1,"2025-02-01",13
99,"PM",6,"2025-02-01",13
103,"O3",22,"2025-02-01",13
103,"NO2",1,"2025-02-01",13
103,"PM",23,"2025-02-01",13
6,"SO2",1,"2025-02-01",13
6,"NO2",2,"2025-02-01",9
6,"PM",6,"2025-02-01",9
17,"O3",21,"2025-02-01",9
17,"NO2",2,"2025-02-01",9
17,"PM",6,"2025-02-01",9
28,"CO",1,"2025-02-01",9
28,"O3",20,"2025-02-01",9
28,"NO2",2,"2025-02-01",9
28,"PM",8,"2025-02-01",9
31,"SO2",1,"2025-02-01",9
31,"CO",1,"2025-02-01",9
31,"O3",21,"2025-02-01",9
31,"NO2",2,"2025-02-01",9
31,"PM",5,"2025-02-01",9
50,"PM",5,"2025-02-01",9
55,"CO",1,"2025-02-01",9
55,"O3",23,"2025-02-01",9
55,"NO2",1,"2025-02-01",9
55,"PM",5,"2025-02-01",9
66,"O3",22,"2025-02-01",9
66,"NO2",1,"2025-02-01",9
66,"PM",6,"2025-02-01",9
80,"SO2",1,"2025-02-01",9
80,"O3",22,"2025-02-01",9
80,"NO2",1,"2025-02-01",9
80,"PM",5,"2025-02-01",9
99,"SO2",1,"2025-02-01",9
99,"O3",23,"2025-02-01",9
99,"NO2",1,"2025-02-01",9
99,"PM",6,"2025-02-01",9
103,"O3",21,"2025-02-01",9
103,"NO2",2,"2025-02-01",9
103,"PM",15,"2025-02-01",9
6,"O3",21,"2025-02-01",9
3,"SO2",1,"2025-02-01",2
3,"O3",25,"2025-02-01",2
3,"NO2",1,"2025-02-01",2
3,"PM",5,"2025-02-01",2
6,"SO2",1,"2025-02-01",2
6,"O3",22,"2025-02-01",2
6,"NO2",1,"2025-02-01",2
3,"SO2",1,"2025-02-01",11
3,"O3",25,"2025-02-01",11
3,"NO2",1,"2025-02-01",11
3,"PM",5,"2025-02-01",11
6,"SO2",1,"2025-02-01",11
6,"O3",22,"2025-02-01",11
6,"NO2",1,"2025-02-01",11
6,"PM",6,"2025-02-01",11
17,"O3",21,"2025-02-01",11
17,"NO2",2,"2025-02-01",11
17,"PM",6,"2025-02-01",11
28,"CO",1,"2025-02-01",11
28,"O3",21,"2025-02-01",11
28,"NO2",1,"2025-02-01",11
28,"PM",14,"2025-02-01",11
31,"SO2",1,"2025-02-01",11
31,"CO",1,"2025-02-01",11
31,"O3",22,"2025-02-01",11
31,"NO2",2,"2025-02-01",11
31,"PM",5,"2025-02-01",11
50,"PM",5,"2025-02-01",11
55,"CO",1,"2025-02-01",11
55,"O3",23,"2025-02-01",11
55,"NO2",1,"2025-02-01",11
55,"PM",5,"2025-02-01",11
6,"PM",6,"2025-02-01",2
17,"O3",23,"2025-02-01",2
17,"NO2",1,"2025-02-01",2
17,"PM",5,"2025-02-01",2
28,"CO",1,"2025-02-01",2
28,"O3",21,"2025-02-01",2
28,"NO2",1,"2025-02-01",2
28,"PM",6,"2025-02-01",2
31,"SO2",1,"2025-02-01",2
31,"CO",1,"2025-02-01",2
31,"O3",21,"2025-02-01",2
31,"NO2",3,"2025-02-01",2
31,"PM",5,"2025-02-01",2
50,"PM",5,"2025-02-01",2
55,"CO",1,"2025-02-01",2
55,"O3",23,"2025-02-01",2
55,"NO2",1,"2025-02-01",2
55,"PM",4,"2025-02-01",2
66,"O3",23,"2025-02-01",2
66,"NO2",1,"2025-02-01",2
66,"PM",5,"2025-02-01",2
80,"SO2",1,"2025-02-01",2
80,"O3",22,"2025-02-01",2
80,"NO2",1,"2025-02-01",2
80,"PM",5,"2025-02-01",2
99,"SO2",1,"2025-02-01",2
99,"O3",23,"2025-02-01",2
99,"NO2",1,"2025-02-01",2
99,"PM",7,"2025-02-01",2
103,"O3",21,"2025-02-01",2
103,"NO2",2,"2025-02-01",2
103,"PM",17,"2025-02-01",2
66,"NO2",1,"2025-02-01",11
66,"PM",6,"2025-02-01",11
80,"SO2",1,"2025-02-01",11
80,"O3",22,"2025-02-01",11
80,"NO2",1,"2025-02-01",11
80,"PM",5,"2025-02-01",11
99,"SO2",1,"2025-02-01",11
99,"O3",22,"2025-02-01",11
99,"NO2",1,"2025-02-01",11
99,"PM",6,"2025-02-01",11
103,"O3",21,"2025-02-01",11
103,"NO2",2,"2025-02-01",11
103,"PM",20,"2025-02-01",11
3,"SO2",1,"2025-02-01",12
3,"O3",25,"2025-02-01",12
3,"NO2",1,"2025-02-01",12
3,"PM",5,"2025-02-01",12
6,"SO2",1,"2025-02-01",12
6,"O3",23,"2025-02-01",12
6,"NO2",1,"2025-02-01",12
6,"PM",6,"2025-02-01",12
17,"O3",21,"2025-02-01",12
66,"O3",23,"2025-02-01",11
3,"SO2",1,"2025-02-01",7
3,"O3",23,"2025-02-01",7
3,"NO2",1,"2025-02-01",7
3,"PM",5,"2025-02-01",7
6,"SO2",1,"2025-02-01",7
6,"O3",22,"2025-02-01",7
6,"NO2",2,"2025-02-01",7
6,"PM",6,"2025-02-01",7
17,"O3",20,"2025-02-01",7
17,"NO2",2,"2025-02-01",7
17,"PM",5,"2025-02-01",7
28,"CO",1,"2025-02-01",7
28,"O3",18,"2025-02-01",7
28,"NO2",2,"2025-02-01",7
28,"PM",7,"2025-02-01",7
31,"SO2",1,"2025-02-01",7
31,"CO",1,"2025-02-01",7
31,"O3",21,"2025-02-01",7
31,"NO2",2,"2025-02-01",7
31,"PM",5,"2025-02-01",7
50,"PM",5,"2025-02-01",7
55,"CO",1,"2025-02-01",7
55,"O3",23,"2025-02-01",7
55,"NO2",1,"2025-02-01",7
55,"PM",5,"2025-02-01",7
66,"O3",20,"2025-02-01",7
66,"NO2",2,"2025-02-01",7
66,"PM",6,"2025-02-01",7
80,"SO2",1,"2025-02-01",7
80,"O3",21,"2025-02-01",7
80,"NO2",1,"2025-02-01",7
80,"PM",5,"2025-02-01",7
99,"SO2",1,"2025-02-01",7
99,"O3",22,"2025-02-01",7
99,"NO2",1,"2025-02-01",7
99,"PM",6,"2025-02-01",7
103,"O3",20,"2025-02-01",7
103,"PM",12,"2025-02-01",7
103,"NO2",2,"2025-02-01",7
3,"SO2",1,"2025-02-01",1
3,"O3",25,"2025-02-01",1
3,"NO2",1,"2025-02-01",1
3,"PM",5,"2025-02-01",1
6,"SO2",1,"2025-02-01",1
6,"O3",21,"2025-02-01",1
6,"NO2",2,"2025-02-01",1
6,"PM",6,"2025-02-01",1
17,"O3",23,"2025-02-01",1
17,"NO2",1,"2025-02-01",1
17,"PM",6,"2025-02-01",1
28,"CO",1,"2025-02-01",1
28,"O3",20,"2025-02-01",1
28,"NO2",2,"2025-02-01",1
28,"PM",6,"2025-02-01",1
31,"SO2",1,"2025-02-01",1
31,"CO",1,"2025-02-01",1
31,"O3",20,"2025-02-01",1
31,"NO2",3,"2025-02-01",1
31,"PM",6,"2025-02-01",1
50,"PM",6,"2025-02-01",1
55,"CO",1,"2025-02-01",1
55,"O3",23,"2025-02-01",1
55,"NO2",1,"2025-02-01",1
55,"PM",5,"2025-02-01",1
66,"O3",23,"2025-02-01",1
66,"NO2",1,"2025-02-01",1
66,"PM",6,"2025-02-01",1
80,"SO2",1,"2025-02-01",1
80,"O3",22,"2025-02-01",1
80,"NO2",1,"2025-02-01",1
80,"PM",5,"2025-02-01",1
99,"SO2",1,"2025-02-01",1
99,"O3",22,"2025-02-01",1
99,"NO2",1,"2025-02-01",1
99,"PM",10,"2025-02-01",1
103,"O3",21,"2025-02-01",1
103,"NO2",2,"2025-02-01",1
103,"PM",18,"2025-02-01",1
3,"SO2",1,"2025-02-01",5
3,"O3",24,"2025-02-01",5
3,"NO2",1,"2025-02-01",5
3,"PM",5,"2025-02-01",5
6,"SO2",1,"2025-02-01",5
6,"O3",21,"2025-02-01",5
6,"NO2",2,"2025-02-01",5
6,"PM",6,"2025-02-01",5
17,"O3",21,"2025-02-01",5
17,"NO2",1,"2025-02-01",5
17,"PM",5,"2025-02-01",5
28,"CO",1,"2025-02-01",5
28,"O3",20,"2025-02-01",5
28,"NO2",1,"2025-02-01",5
28,"PM",6,"2025-02-01",5
31,"SO2",1,"2025-02-01",5
31,"CO",1,"2025-02-01",5
31,"O3",21,"2025-02-01",5
31,"NO2",2,"2025-02-01",5
31,"PM",5,"2025-02-01",5
50,"PM",5,"2025-02-01",5
55,"CO",1,"2025-02-01",5
55,"O3",22,"2025-02-01",5
55,"NO2",1,"2025-02-01",5
55,"PM",4,"2025-02-01",5
66,"O3",22,"2025-02-01",5
66,"NO2",1,"2025-02-01",5
66,"PM",5,"2025-02-01",5
80,"SO2",1,"2025-02-01",5
80,"O3",22,"2025-02-01",5
80,"NO2",1,"2025-02-01",5
80,"PM",4,"2025-02-01",5
99,"SO2",1,"2025-02-01",5
99,"O3",22,"2025-02-01",5
99,"NO2",1,"2025-02-01",5
99,"PM",5,"2025-02-01",5
103,"O3",21,"2025-02-01",5
103,"NO2",1,"2025-02-01",5
103,"PM",11,"2025-02-01",5
3,"SO2",1,"2025-02-01",6
3,"O3",23,"2025-02-01",6
3,"NO2",1,"2025-02-01",6
3,"PM",5,"2025-02-01",6
6,"SO2",1,"2025-02-01",6
6,"O3",19,"2025-02-01",6
6,"NO2",2,"2025-02-01",6
6,"PM",6,"2025-02-01",6
17,"O3",21,"2025-02-01",6
17,"NO2",1,"2025-02-01",6
17,"PM",5,"2025-02-01",6
28,"CO",1,"2025-02-01",6
28,"O3",20,"2025-02-01",6
28,"NO2",2,"2025-02-01",6
28,"PM",7,"2025-02-01",6
31,"SO2",1,"2025-02-01",6
31,"CO",1,"2025-02-01",6
31,"O3",20,"2025-02-01",6
31,"NO2",2,"2025-02-01",6
31,"PM",5,"2025-02-01",6
50,"PM",5,"2025-02-01",6
55,"CO",1,"2025-02-01",6
55,"O3",22,"2025-02-01",6
55,"NO2",1,"2025-02-01",6
55,"PM",4,"2025-02-01",6
66,"O3",21,"2025-02-01",6
66,"NO2",1,"2025-02-01",6
66,"PM",5,"2025-02-01",6
80,"SO2",1,"2025-02-01",6
80,"O3",21,"2025-02-01",6
80,"NO2",1,"2025-02-01",6
80,"PM",5,"2025-02-01",6
99,"SO2",1,"2025-02-01",6
99,"O3",23,"2025-02-01",6
99,"NO2",1,"2025-02-01",6
99,"PM",5,"2025-02-01",6
103,"O3",20,"2025-02-01",6
103,"NO2",2,"2025-02-01",6
103,"PM",11,"2025-02-01",6
3,"SO2",1,"2025-02-01",10
3,"O3",25,"2025-02-01",10
3,"NO2",1,"2025-02-01",10
3,"PM",5,"2025-02-01",10
6,"SO2",1,"2025-02-01",10
6,"O3",22,"2025-02-01",10
6,"NO2",1,"2025-02-01",10
6,"PM",6,"2025-02-01",10
17,"O3",21,"2025-02-01",10
17,"NO2",2,"2025-02-01",10
17,"PM",6,"2025-02-01",10
28,"CO",1,"2025-02-01",10
28,"O3",21,"2025-02-01",10
28,"NO2",1,"2025-02-01",10
28,"PM",10,"2025-02-01",10
31,"SO2",1,"2025-02-01",10
31,"CO",1,"2025-02-01",10
31,"O3",21,"2025-02-01",10
31,"NO2",2,"2025-02-01",10
31,"PM",5,"2025-02-01",10
50,"PM",5,"2025-02-01",10
55,"CO",1,"2025-02-01",10
55,"O3",23,"2025-02-01",10
55,"NO2",1,"2025-02-01",10
55,"PM",5,"2025-02-01",10
66,"O3",23,"2025-02-01",10
66,"NO2",1,"2025-02-01",10
66,"PM",6,"2025-02-01",10
80,"SO2",1,"2025-02-01",10
80,"O3",22,"2025-02-01",10
80,"NO2",1,"2025-02-01",10
80,"PM",5,"2025-02-01",10
99,"SO2",1,"2025-02-01",10
99,"O3",23,"2025-02-01",10
99,"NO2",1,"2025-02-01",10
99,"PM",6,"2025-02-01",10
103,"O3",21,"2025-02-01",10
103,"NO2",2,"2025-02-01",10
103,"PM",17,"2025-02-01",10
